DATAFLOW;FREQ;STAT;SPATIAL;TIME_PERIOD;OBS_VALUE;NOT_COUNTED_PROPORTION;GENERAL_STATUS;OBS_STATUS;STATUS;LAND_SURFACE;SPECIAL_VALUE;APPROXIMATELY_LOCATED_POPULATION_PROPORTION;OBS_NOTE;MEASURE;MEASUREMENT_METHOD;UNIT_MEASURE;CONVENTIONALLY_LOCATED_PROPORTION;UNIVERSE;POPULATED;AREA_OF_DISSEMINATION;INSPIREID
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1433000E4729000;2021;542;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1433000E4730000;2021;484;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1433000E4731000;2021;1352;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1433000E4732000;2021;2560;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1433000E4733000;2021;3495;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1433000E4734000;2021;3188;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1433000E4735000;2021;471;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1433000E4736000;2021;75;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1434000E4718000;2021;9;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
ESTAT:DF_CENSUS_GRID_2021(2.0);;T;MT_CRS3035RES1000mN1434000E4719000;2021;205;0;final;I;final;1;;0;;populationAtResidencePlace;count;PS;;;1;MT;
